menu,dining_course,day
Cage Free Fried Egg; JustEgg Folded; Cage Free Hard Boiled Egg; Pork Breakfast Sausage Patty; Chicken Sausage Patty; English Muffin; Avocado; Tomato; Home Fries; Maine Rolled Oats; Grits; Quinoa; Cantaloupe; Blackberries; Greek Yogurt; Vanilla Yogurt; Soy Yogurt; Blueberry Vanilla Granola,Breakfast/Grill,day23
Raspberry Muffin; Raspberry Sour Cream Muffin,Pastry Selection,day23
AF Beef Stir Fry with Onions & Peppers,Allergen Friendly,day24
Cage Free Scrambled Eggs; Cage Free Hard Boiled Egg; Belgian Waffle; Four Pepper Chicken Sausage; Chorizo Sausage with Onions and Peppers; Hash Browns; Southwest Tofu Scramble; Maine Rolled Oats; Grits; White Rice; Blueberries; Pineapple; Soy Yogurt; Vanilla Yogurt; Greek Yogurt; Gluten Free Honey Oat Granola,Breakfast/Grill,day24
Vegan GF Cranberry Orange Muffin; Cranberry Orange Muffins,Pastry Selection,day24
Turkey Sausage Patty; Canadian Bacon; Tofu Scramble; Brown Rice; Pan Fried Potatoes; Chocolate Chip Pancakes; Cage Free Hard Boiled Egg; Cage Free Scrambled Eggs; Cinnamon Apple Grits; Maine Rolled Oats; Vanilla Yogurt; Soy Yogurt; Greek Yogurt; Mandarin Oranges; Red Grapes,Breakfast/Grill,day25
Vegan GF Lemon Poppy Muffin; Lemon Poppy Seed Coffee Cake,Pastry Selection,day25
Cage Free Hard Boiled Egg; Cage Free Scrambled Eggs; JustEgg Folded; Texas Toast French Toast; Herbed Breakfast Potatoes; Turkey Bacon; Pork Breakfast Sausage Link; Strawberries; Honeydew Melon; Gluten Free Honey Oat Granola; Soy Yogurt; Vanilla Yogurt; Greek Yogurt; Quinoa; Hoop Cheddar Grits; Maine Rolled Oats,Breakfast/Grill,day26
Cherry Cinnamon Rolls; Vegan GF Cherry Muffin,Pastry Selection,day26
Cage Free Fried Egg; Cage Free Hard Boiled Egg; Santa Fe Potatoes; Grilled Ham Steak; English Muffin; Maine Rolled Oats; Turkey Sausage Patty; Tempeh and Vegetable Scramble; White Rice; Vanilla Yogurt; Soy Yogurt; Mango Chunks; Peaches; Cranberry Chew Low-Fat Granola; Greek Yogurt; Grits,Breakfast/Grill,day27
Assorted Donuts; Vegan GF Maple Muffin,Pastry Selection,day27
Sausage Chicken and Apple; Bacon; Tofu Scramble with Asparagus & Mushroom; Brown Rice; Creme Brule French Toast; Herbed Breakfast Potatoes; Cage Free Scrambled Eggs; Cage Free Hard Boiled Egg; Cinnamon Apple Grits; Maine Rolled Oats,Breakfast/Grill,day28
Cinnamon Chip Scone; Vegan GF Cinnamon Muffin,Pastry Selection,day28
